userID,age,sex,edu,major,work,IAT,self,HPC,perf
U1,27,F,HighO,FALSE,TRUE,27,3,11,54
U2,30,M,Univ,FALSE,TRUE,31,1,8,55
U3,31,M,Univ,FALSE,TRUE,19,5,8,59
U4,30,F,Univ,FALSE,TRUE,27,4,17,56
U5,40,F,Univ,FALSE,TRUE,25,2,12,52
U6,29,M,Univ,FALSE,FALSE,35,3,10,47
U7,26,M,Univ,TRUE,TRUE,29,1,5,55
U8,26,M,GradO,FALSE,TRUE,29,5,9,63
U9,29,F,Univ,FALSE,TRUE,38,4,11,55
U10,31,F,Grad,FALSE,TRUE,30,2,9,59
U11,29,M,Univ,FALSE,FALSE,35,3,11,49
U12,31,F,Grad,FALSE,TRUE,26,1,9,55
U13,24,M,UnivO,FALSE,TRUE,21,5,11,61
U14,22,M,Univ,FALSE,TRUE,16,4,5,55
U15,26,F,Univ,FALSE,TRUE,37,2,14,47
U16,35,M,Univ,FALSE,TRUE,26,3,10,48
U17,25,M,Univ,FALSE,FALSE,30,1,8,56
U18,24,M,Grad,FALSE,FALSE,32,5,19,50
U19,27,M,Univ,FALSE,TRUE,30,4,11,52
U20,26,M,Univ,FALSE,FALSE,25,2,11,50
U21,26,F,Univ,TRUE,TRUE,35,3,13,56
U22,27,M,GradO,FALSE,TRUE,30,1,7,57
U23,24,M,Univ,FALSE,FALSE,19,5,11,45
U24,27,F,Grad,FALSE,TRUE,32,4,7,53
U25,25,M,GradO,FALSE,TRUE,32,2,10,56
U26,48,M,Grad,FALSE,TRUE,27,3,12,52
U27,31,F,UnivO,FALSE,TRUE,30,1,11,55
U28,20,M,Univ,FALSE,TRUE,33,5,14,56
U29,41,F,High,FALSE,TRUE,31,4,20,47
U30,24,F,Univ,FALSE,TRUE,29,2,5,52
U31,30,M,Univ,FALSE,TRUE,18,3,9,55
U32,25,M,High,FALSE,TRUE,27,1,10,52
U33,24,F,HighO,FALSE,TRUE,37,5,8,59
U34,31,F,Univ,FALSE,TRUE,34,4,14,62
U35,26,M,GradO,FALSE,TRUE,30,2,7,53
U36,32,F,Univ,FALSE,TRUE,28,3,16,55
U37,25,M,GradO,FALSE,TRUE,35,1,14,53
U38,24,F,GradO,FALSE,TRUE,24,5,12,54
U39,22,F,Univ,FALSE,TRUE,31,4,12,59
U40,40,M,Grad,FALSE,TRUE,33,2,14,58
U41,28,F,Univ,FALSE,TRUE,26,3,6,55
U42,29,M,Univ,TRUE,TRUE,31,1,8,59
U43,24,M,UnivO,FALSE,TRUE,32,5,9,52
U44,28,F,Grad,FALSE,TRUE,30,4,11,56
U45,27,M,UnivO,FALSE,FALSE,34,2,13,50
U46,28,M,High,FALSE,TRUE,27,3,6,51
U47,30,M,UnivO,FALSE,FALSE,39,1,11,51
U48,31,F,High,FALSE,FALSE,30,5,7,51
U49,24,F,UnivO,FALSE,TRUE,33,4,10,46
U50,33,F,High,FALSE,FALSE,32,2,9,52
U51,26,F,Univ,FALSE,TRUE,18,3,8,55
U52,27,F,High,FALSE,FALSE,32,1,13,44
U53,35,M,Univ,FALSE,FALSE,30,5,10,56
U54,31,F,Univ,TRUE,TRUE,21,4,7,60
U55,24,F,Univ,TRUE,TRUE,31,2,7,59
U56,30,F,Univ,FALSE,TRUE,26,3,5,48
U57,31,M,GradO,FALSE,FALSE,30,1,10,50
U58,32,M,High,FALSE,TRUE,18,5,5,54
U59,24,M,Univ,FALSE,FALSE,28,4,14,51
U60,36,M,GradO,FALSE,TRUE,45,2,15,50
U61,50,M,Univ,FALSE,TRUE,23,3,5,55
U62,24,M,Univ,FALSE,TRUE,26,1,9,59
U63,27,M,UnivO,FALSE,TRUE,27,5,13,57
U64,26,F,High,FALSE,TRUE,18,4,20,64
U65,25,M,Univ,FALSE,TRUE,28,2,12,54
U66,35,M,Univ,TRUE,TRUE,31,3,11,49
U67,26,M,Grad,FALSE,FALSE,33,1,11,52
U68,28,F,High,FALSE,TRUE,38,5,5,56
U69,24,M,UnivO,FALSE,FALSE,31,4,14,46
U70,31,F,Univ,FALSE,TRUE,25,2,8,50
U71,27,M,Univ,FALSE,TRUE,31,3,13,53
U72,41,F,Univ,FALSE,TRUE,34,1,9,52
U73,26,F,High,FALSE,TRUE,32,5,7,58
U74,34,M,Univ,FALSE,TRUE,38,4,11,49
U75,24,M,High,FALSE,FALSE,27,2,9,48
U76,29,M,Univ,TRUE,TRUE,22,3,9,50
U77,24,M,High,FALSE,TRUE,25,1,6,48
U78,27,F,High,FALSE,TRUE,20,5,12,58
U79,24,M,Univ,FALSE,TRUE,15,4,11,43
U80,28,F,Grad,FALSE,TRUE,33,2,10,46
U81,22,F,Univ,FALSE,TRUE,35,3,18,50
U82,29,M,UnivO,FALSE,TRUE,17,1,9,50
U83,27,M,Univ,FALSE,TRUE,30,5,14,56
U84,29,M,Univ,FALSE,FALSE,22,4,17,55
U85,26,F,GradO,FALSE,TRUE,29,2,7,57
U86,45,M,HighO,FALSE,TRUE,21,3,11,50
U87,26,F,GradO,FALSE,TRUE,33,1,14,57
U88,24,F,High,FALSE,FALSE,38,5,10,49
U89,25,M,Univ,FALSE,FALSE,28,4,11,49
U90,36,M,GradO,TRUE,TRUE,32,2,12,57
U91,25,F,High,FALSE,TRUE,45,3,18,53
U92,20,M,UnivO,FALSE,TRUE,31,1,13,57
U93,24,M,Univ,FALSE,TRUE,22,5,8,48
U94,25,F,HighO,FALSE,FALSE,21,4,13,51
U95,27,M,Univ,FALSE,TRUE,31,2,5,57
U96,30,M,Univ,FALSE,FALSE,29,3,11,57
U97,24,F,Univ,FALSE,TRUE,24,1,11,46
U98,24,F,Univ,FALSE,TRUE,25,5,19,55
U99,27,M,Univ,TRUE,TRUE,34,4,12,59
U100,32,F,High,FALSE,FALSE,31,2,6,44
U101,27,F,Univ,FALSE,FALSE,32,3,8,50
U102,31,F,UnivO,FALSE,TRUE,28,1,7,54
U103,26,F,UnivO,FALSE,TRUE,38,5,9,59
U104,27,F,High,FALSE,FALSE,25,4,12,52
U105,24,F,UnivO,FALSE,FALSE,29,2,7,47
U106,24,F,HighO,FALSE,TRUE,29,3,17,54
U107,26,F,Univ,FALSE,TRUE,29,1,12,58
U108,24,F,Univ,FALSE,TRUE,29,5,18,53
U109,28,F,GradO,FALSE,FALSE,32,4,18,54
U110,26,F,Univ,FALSE,FALSE,34,2,12,53
U111,33,M,HighO,FALSE,FALSE,25,3,14,48
U112,26,F,Grad,FALSE,TRUE,31,1,10,57
U113,20,M,Univ,FALSE,TRUE,28,5,10,57
U114,24,M,Univ,FALSE,TRUE,27,4,8,50
U115,24,M,GradO,FALSE,TRUE,35,2,5,57
U116,23,M,Univ,FALSE,TRUE,27,3,12,47
U117,21,M,GradO,FALSE,FALSE,29,1,12,40
U118,26,F,Univ,TRUE,TRUE,28,5,6,59
U119,26,M,High,FALSE,TRUE,21,4,8,58
U120,32,M,GradO,FALSE,FALSE,45,2,13,46
U121,35,M,Univ,FALSE,FALSE,35,3,14,48
U122,22,F,High,FALSE,TRUE,26,1,7,59
U123,20,M,Univ,FALSE,TRUE,26,5,6,52
U124,23,M,Grad,FALSE,FALSE,28,4,10,50
U125,28,M,Univ,FALSE,TRUE,33,2,9,57
