"","userID","age","sex","edu","major","work","IAT","self","HPC","perf","impr"
"1","U1",27,"F","HighO",FALSE,TRUE,27,3,11,54,-1
"2","U2",30,"M","Univ",FALSE,TRUE,31,1,8,55,-8
"3","U3",31,"M","Univ",FALSE,TRUE,19,5,8,59,-5
"4","U4",30,"F","Univ",FALSE,TRUE,27,4,17,56,-3
"5","U5",40,"F","Univ",FALSE,TRUE,25,2,12,52,-2
"6","U6",29,"M","Univ",FALSE,FALSE,35,3,10,47,5
"7","U7",26,"M","Univ",TRUE,TRUE,29,1,5,55,3
"8","U8",26,"M","GradO",FALSE,TRUE,29,5,9,63,-12
"9","U9",29,"F","Univ",FALSE,TRUE,38,4,11,55,-2
"10","U10",31,"F","Grad",FALSE,TRUE,30,2,9,59,-8
"11","U11",29,"M","Univ",FALSE,FALSE,35,3,11,49,8
"12","U12",31,"F","Grad",FALSE,TRUE,26,1,9,55,-7
"13","U13",24,"M","UnivO",FALSE,TRUE,21,5,11,61,-6
"14","U14",22,"M","Univ",FALSE,TRUE,16,4,5,55,0
"15","U15",26,"F","Univ",FALSE,TRUE,37,2,14,47,9
"16","U16",35,"M","Univ",FALSE,TRUE,26,3,10,48,5
"17","U17",25,"M","Univ",FALSE,FALSE,30,1,8,56,-1
"18","U18",24,"M","Grad",FALSE,FALSE,32,5,19,50,0
"19","U19",27,"M","Univ",FALSE,TRUE,30,4,11,52,1
"20","U20",26,"M","Univ",FALSE,FALSE,25,2,11,50,4
"21","U21",26,"F","Univ",TRUE,TRUE,35,3,13,56,-3
"22","U22",27,"M","GradO",FALSE,TRUE,30,1,7,57,-5
"23","U23",24,"M","Univ",FALSE,FALSE,19,5,11,45,10
"24","U24",27,"F","Grad",FALSE,TRUE,32,4,7,53,-2
"25","U25",25,"M","GradO",FALSE,TRUE,32,2,10,56,-5
"26","U26",48,"M","Grad",FALSE,TRUE,27,3,12,52,2
"27","U27",31,"F","UnivO",FALSE,TRUE,30,1,11,55,0
"28","U28",20,"M","Univ",FALSE,TRUE,33,5,14,56,-3
"29","U29",41,"F","High",FALSE,TRUE,31,4,20,47,6
"30","U30",24,"F","Univ",FALSE,TRUE,29,2,5,52,1
"31","U31",30,"M","Univ",FALSE,TRUE,18,3,9,55,-2
"32","U32",25,"M","High",FALSE,TRUE,27,1,10,52,5
"33","U33",24,"F","HighO",FALSE,TRUE,37,5,8,59,-6
"34","U34",31,"F","Univ",FALSE,TRUE,34,4,14,62,-7
"35","U35",26,"M","GradO",FALSE,TRUE,30,2,7,53,-1
"36","U36",32,"F","Univ",FALSE,TRUE,28,3,16,55,0
"37","U37",25,"M","GradO",FALSE,TRUE,35,1,14,53,2
"38","U38",24,"F","GradO",FALSE,TRUE,24,5,12,54,4
"39","U39",22,"F","Univ",FALSE,TRUE,31,4,12,59,-9
"40","U40",40,"M","Grad",FALSE,TRUE,33,2,14,58,-4
"41","U41",28,"F","Univ",FALSE,TRUE,26,3,6,55,-3
"42","U42",29,"M","Univ",TRUE,TRUE,31,1,8,59,-5
"43","U43",24,"M","UnivO",FALSE,TRUE,32,5,9,52,-1
"44","U44",28,"F","Grad",FALSE,TRUE,30,4,11,56,-1
"45","U45",27,"M","UnivO",FALSE,FALSE,34,2,13,50,8
"46","U46",28,"M","High",FALSE,TRUE,27,3,6,51,7
"47","U47",30,"M","UnivO",FALSE,FALSE,39,1,11,51,9
"48","U48",31,"F","High",FALSE,FALSE,30,5,7,51,6
"49","U49",24,"F","UnivO",FALSE,TRUE,33,4,10,46,7
"50","U50",33,"F","High",FALSE,FALSE,32,2,9,52,3
"51","U51",26,"F","Univ",FALSE,TRUE,18,3,8,55,-2
"52","U52",27,"F","High",FALSE,FALSE,32,1,13,44,7
"53","U53",35,"M","Univ",FALSE,FALSE,30,5,10,56,-1
"54","U54",31,"F","Univ",TRUE,TRUE,21,4,7,60,-13
"55","U55",24,"F","Univ",TRUE,TRUE,31,2,7,59,-5
"56","U56",30,"F","Univ",FALSE,TRUE,26,3,5,48,0
"57","U57",31,"M","GradO",FALSE,FALSE,30,1,10,50,2
"58","U58",32,"M","High",FALSE,TRUE,18,5,5,54,6
"59","U59",24,"M","Univ",FALSE,FALSE,28,4,14,51,4
"60","U60",36,"M","GradO",FALSE,TRUE,45,2,15,50,4
"61","U61",50,"M","Univ",FALSE,TRUE,23,3,5,55,-3
"62","U62",24,"M","Univ",FALSE,TRUE,26,1,9,59,-6
"63","U63",27,"M","UnivO",FALSE,TRUE,27,5,13,57,-3
"64","U64",26,"F","High",FALSE,TRUE,18,4,20,64,-12
"65","U65",25,"M","Univ",FALSE,TRUE,28,2,12,54,-2
"66","U66",35,"M","Univ",TRUE,TRUE,31,3,11,49,0
"67","U67",26,"M","Grad",FALSE,FALSE,33,1,11,52,5
"68","U68",28,"F","High",FALSE,TRUE,38,5,5,56,-4
"69","U69",24,"M","UnivO",FALSE,FALSE,31,4,14,46,5
"70","U70",31,"F","Univ",FALSE,TRUE,25,2,8,50,1
"71","U71",27,"M","Univ",FALSE,TRUE,31,3,13,53,1
"72","U72",41,"F","Univ",FALSE,TRUE,34,1,9,52,2
"73","U73",26,"F","High",FALSE,TRUE,32,5,7,58,-3
"74","U74",34,"M","Univ",FALSE,TRUE,38,4,11,49,1
"75","U75",24,"M","High",FALSE,FALSE,27,2,9,48,2
"76","U76",29,"M","Univ",TRUE,TRUE,22,3,9,50,2
"77","U77",24,"M","High",FALSE,TRUE,25,1,6,48,3
"78","U78",27,"F","High",FALSE,TRUE,20,5,12,58,-6
"79","U79",24,"M","Univ",FALSE,TRUE,15,4,11,43,8
"80","U80",28,"F","Grad",FALSE,TRUE,33,2,10,46,8
"81","U81",22,"F","Univ",FALSE,TRUE,35,3,18,50,-1
"82","U82",29,"M","UnivO",FALSE,TRUE,17,1,9,50,6
"83","U83",27,"M","Univ",FALSE,TRUE,30,5,14,56,-9
"84","U84",29,"M","Univ",FALSE,FALSE,22,4,17,55,-8
"85","U85",26,"F","GradO",FALSE,TRUE,29,2,7,57,-1
"86","U86",45,"M","HighO",FALSE,TRUE,21,3,11,50,4
"87","U87",26,"F","GradO",FALSE,TRUE,33,1,14,57,-7
"88","U88",24,"F","High",FALSE,FALSE,38,5,10,49,4
"89","U89",25,"M","Univ",FALSE,FALSE,28,4,11,49,6
"90","U90",36,"M","GradO",TRUE,TRUE,32,2,12,57,-3
"91","U91",25,"F","High",FALSE,TRUE,45,3,18,53,1
"92","U92",20,"M","UnivO",FALSE,TRUE,31,1,13,57,-3
"93","U93",24,"M","Univ",FALSE,TRUE,22,5,8,48,4
"94","U94",25,"F","HighO",FALSE,FALSE,21,4,13,51,5
"95","U95",27,"M","Univ",FALSE,TRUE,31,2,5,57,-3
"96","U96",30,"M","Univ",FALSE,FALSE,29,3,11,57,-2
"97","U97",24,"F","Univ",FALSE,TRUE,24,1,11,46,5
"98","U98",24,"F","Univ",FALSE,TRUE,25,5,19,55,-2
"99","U99",27,"M","Univ",TRUE,TRUE,34,4,12,59,-4
"100","U100",32,"F","High",FALSE,FALSE,31,2,6,44,9
